Nombre ejercicio,Grupo muscular principal,Grupo muscular secundario,Lugar de entrenamiento: casa/gimnasio,Nivel de dificultad,Material necesario,Equipamiento opcional,Tags GPT,URL video\n\n,,
Estiramiento en rotación de pies y tobillos,Tobillos,Pies,casa/gimnasio,Básico,Ninguno,Esterilla,"aislado, multiarticular, básico, ninguno, hipertrofia, casa, tobillos, pies",https://drive.google.com/file/d/1Sm1IZAduKr-BbK_O2McwNs5cALzH6L-t/view?usp=drivesdk,,
Estiramiento en rotación de pies y tobillos,Tobillos,Pies,casa/gimnasio,Básico,Ninguno,Esterilla,"aislado, multiarticular, básico, ninguno, hipertrofia, casa, tobillos, pies",https://drive.google.com/file/d/1Qt3IbL8_u82D4QljD9G1yqwZ1ddXnHlb/view?usp=drivesdk,,
Estiramiento de tobillo sentado,Tobillos,Gemelos,casa/gimnasio,Básico,Ninguno,Silla o banco bajo,"aislado, multiarticular, básico, ninguno, hipertrofia, casa, tobillos, gemelos",https://drive.google.com/file/d/1u5bQwUpjegWKaIbxGlcPX5AkJuMdvwqG/view?usp=drivesdk,,
Estiramiento de gemelos sentado,Gemelos,Tendón de Aquiles,casa/gimnasio,Básico,Ninguno,Esterilla,"aislado, multiarticular, básico, ninguno, hipertrofia, casa, gemelos, tendón de aquiles",https://drive.google.com/file/d/1A5fmDxZPxjAmiA4MdxvgmgAgPhKwNAwn/view?usp=drivesdk,,
Estiramiento lateral de pies y tobillos,Tobillos,Pies,casa/gimnasio,Básico,Ninguno,Esterilla,"aislado, multiarticular, básico, ninguno, hipertrofia, casa, tobillos, pies",https://drive.google.com/file/d/1QwlsfBob4l2I6vqsYjXTQG7paqMhiyYZ/view?usp=drivesdk,,
Estiramiento de gemelos empujando contra pared,Gemelos,Core,casa/gimnasio,Básico,Ninguno,Pared,"aislado, multiarticular, básico, ninguno, hipertrofia, casa, gemelos, core",https://drive.google.com/file/d/12LjMkJ-cz5YpXarK3l7phk-s_ArtPzgT/view?usp=drivesdk,,
Estiramiento de gemelos contra pared,Gemelos,Tendón de Aquiles,casa/gimnasio,Básico,Ninguno,Pared,"aislado, multiarticular, básico, ninguno, hipertrofia, casa, gemelos, tendón de aquiles",https://drive.google.com/file/d/1upMENwYS374BM0Lz6mWue8AFLvRDl-vl/view?usp=drivesdk,,
Estiramiento de gemelos tirando de la punta sentado,Gemelos,Isquiotibiales,casa/gimnasio,Básico,Ninguno,Toalla o cuerda,"aislado, multiarticular, básico, ninguno, hipertrofia, casa, gemelos, isquiotibiales",https://drive.google.com/file/d/1gN1wp3d2aGGuzBiv1owz5Fv3nl2Yanwk/view?usp=drivesdk,,
Círculos de rodilla en estiramiento,Rodillas,Cuádriceps,casa/gimnasio,Básico,Ninguno,Esterilla,"aislado, multiarticular, básico, ninguno, hipertrofia, casa, rodillas, cuádriceps",https://drive.google.com/file/d/1T2JyOBo_Y2TMlGFyvZQRsgiHQb7J8gr6/view?usp=drivesdk,,
Círculos de rodilla en estiramiento,Rodillas,Cuádriceps,casa/gimnasio,Básico,Ninguno,Esterilla,"aislado, multiarticular, básico, ninguno, hipertrofia, casa, rodillas, cuádriceps",https://drive.google.com/file/d/1yi-csJr2dR98x0lv4QRzXclczSEmyFH4/view?usp=drivesdk,,
Elevación de talones tipo burro,Gemelos,Core,Casa o gimnasio,Intermedio,Banco,Compañero o mochila,"aislado, multiarticular, intermedio, banco, hipertrofia, casa, gemelos, core",https://drive.google.com/file/d/1Zyo1u_2VrOviKBDZKALI5dol6_E7FkZM/view?usp=drivesdk,,
Elevación de talones tipo burro,Gemelos,Core,Casa o gimnasio,Intermedio,Banco,Compañero o mochila,"aislado, multiarticular, intermedio, banco, hipertrofia, casa, gemelos, core",https://drive.google.com/file/d/1Ys_c11zpRUm8Sq4r9Y1Z5bawbPvCkxSZ/view?usp=drivesdk,,
Estiramiento en pie del gastrocnemio (gemelo externo),Gemelos (externos),Soleo,casa/gimnasio,Básico,Ninguno,Pared,"aislado, multiarticular, básico, ninguno, hipertrofia, casa, gemelos (externos), soleo",https://drive.google.com/file/d/1jSBeDbB8V6rWHtx_JVVmN6BU-prtOyDO/view?usp=drivesdk,,
Elevación de talones a una pierna,Gemelos,Core,Casa o gimnasio,Intermedio,Ninguno,Pared o bastón,"aislado, multiarticular, intermedio, ninguno, hipertrofia, casa, gemelos, core",https://drive.google.com/file/d/1HSEaN4g0vXlk4S9QObMeXjeMsUvBVvR0/view?usp=drivesdk,,
Elevación de talones a una pierna,Gemelos,Core,Casa o gimnasio,Intermedio,Ninguno,Pared o bastón,"aislado, multiarticular, intermedio, ninguno, hipertrofia, casa, gemelos, core",https://drive.google.com/file/d/1TBShMscTNbwAyjg13_Tq-4aVoD1C_9EV/view?usp=drivesdk,,
Estiramiento de gemelos sentado,Gemelos,Tendón de Aquiles,casa/gimnasio,Básico,Ninguno,Esterilla,"aislado, multiarticular, básico, ninguno, hipertrofia, casa, gemelos, tendón de aquiles",https://drive.google.com/file/d/1MpF4iR-ufAMGbACaepNxyES61J55pljQ/view?usp=drivesdk,,
Estiramiento de gemelos con pierna extendida sentado,Gemelos,Isquiotibiales,casa/gimnasio,Básico,Ninguno,Esterilla,"aislado, multiarticular, básico, ninguno, hipertrofia, casa, gemelos, isquiotibiales",https://drive.google.com/file/d/1g9KSdCBLcmuzskl6CO62LouPQTp1Xi8y/view?usp=drivesdk,,
Estiramiento general de pies y tobillos,Tobillos,Pies,casa/gimnasio,Básico,Ninguno,Esterilla,"aislado, multiarticular, básico, ninguno, hipertrofia, casa, tobillos, pies",https://drive.google.com/file/d/1JOwdnGi14Mp2eyWzqS5dNKb3vu8yofuS/view?usp=drivesdk,,
Estiramiento general de pies y tobillos,Tobillos / Gemelos,Pies,casa/gimnasio,Básico,Ninguno,Esterilla,"aislado, multiarticular, básico, ninguno, hipertrofia, casa, tobillos / gemelos, pies",https://drive.google.com/file/d/17JD533kKRzS3JiK1jp7IYemiGzy6uwOW/view?usp=drivesdk,,
Estiramiento en pie del gastrocnemio (gemelo externo),Gemelos (externos),Soleo,Casa o gimnasio,Básico,Ninguno,Pared,"aislado, multiarticular, básico, ninguno, hipertrofia, casa, gemelos (externos), soleo",https://drive.google.com/file/d/1Ev2f33y7qTfvduGkTjrwbWpPe8Zw3Ifp/view?usp=drivesdk,,
Elevación de talones con banda (dos piernas),Gemelos,Tobillos,casa/gimnasio,Básico,Banda elástica,Ninguno,"aislado, multiarticular, básico, banda elástica, hipertrofia, casa, gemelos, tobillos",https://drive.google.com/file/d/1gr-TajUGpbuOFbg30auISKJtO4ehISva/view?usp=drivesdk,,
Elevación de talones con banda (dos piernas),Gemelos,Tobillos,casa/gimnasio,Básico,Banda elástica,Ninguno,"aislado, multiarticular, básico, banda elástica, hipertrofia, casa, gemelos, tobillos",https://drive.google.com/file/d/19BaY4WSzgmISbGUTTpK_miXUfzhmgIzX/view?usp=drivesdk,,
Elevación de talones desde déficit con apoyo en silla,Gemelos,Core,casa/gimnasio,Intermedio,Silla o step,Mochila o peso adicional,"aislado, multiarticular, intermedio, silla o step, hipertrofia, casa, gemelos, core",https://drive.google.com/file/d/18Ueoa8x48qSX-WPcgTe4k7is1BoRd6Zf/view?usp=drivesdk,,
Elevación de talones de pie con mancuernas,Gemelos,Core,Casa o gimnasio,Intermedio,Mancuernas,Step o suelo firme,"aislado, multiarticular, intermedio, mancuernas, hipertrofia, casa, gemelos, core",https://drive.google.com/file/d/1rhsz8VM4YN5KUMAn0ouRjUVkekzGBCaW/view?usp=drivesdk,,
Elevación de talones de pie con mancuernas,Gemelos,Core,Casa o gimnasio,Intermedio,Mancuernas,Step o suelo firme,"aislado, multiarticular, intermedio, mancuernas, hipertrofia, casa, gemelos, core",https://drive.google.com/file/d/1h3M1Mp6TrcrMyx8UzVpTwSDQ8_DvkvwM/view?usp=drivesdk,,
Elevación de talones sentado con mancuernas,Gemelos,Core,Casa o gimnasio,Intermedio,"Mancuernas, banco",Disco sobre rodillas,"aislado, multiarticular, intermedio, mancuernas, banco, hipertrofia, casa, gemelos, core",https://drive.google.com/file/d/15YLn3e52xl0pAcARVGOhTrso5sR_UsBe/view?usp=drivesdk,,
Elevación de talones sentado con mancuernas,Gemelos,Core,Casa o gimnasio,Intermedio,"Mancuernas, banco",Disco sobre rodillas,"aislado, multiarticular, intermedio, mancuernas, banco, hipertrofia, casa, gemelos, core",https://drive.google.com/file/d/1_n93OmaGTzF9vVqIZn8RK5jE6fJYal_w/view?usp=drivesdk,,
Elevación de talones de pie con mancuernas,Gemelos,Core,Casa o gimnasio,Intermedio,Mancuernas,Step,"aislado, multiarticular, intermedio, mancuernas, hipertrofia, casa, gemelos, core",https://drive.google.com/file/d/19TVIA-oPAO2P8rWYzbkuigUN_ZUw146l/view?usp=drivesdk,,
Elevación de talones a una pierna con mancuernas,Gemelos,Core,Casa o gimnasio,Avanzado,Mancuernas,Apoyo en pared o barra,"aislado, multiarticular, avanzado, mancuernas, hipertrofia, casa, gemelos, core",https://drive.google.com/file/d/1yM68B_-jotoFz9Ip4vOCUOjcLJWodSl_/view?usp=drivesdk,,
Elevación de talones a una pierna con mancuernas,Gemelos,Core,Casa o gimnasio,Avanzado,Mancuernas,Apoyo en pared o barra,"aislado, multiarticular, avanzado, mancuernas, hipertrofia, casa, gemelos, core",https://drive.google.com/file/d/1cWJAngXGTwM3IcIEO8MQWD0uf49AKUO-/view?usp=drivesdk,,
Elevación de talones a una pierna con mancuernas,Gemelos,Core,Casa o gimnasio,Avanzado,Mancuernas,Apoyo en pared o barra,"aislado, multiarticular, avanzado, mancuernas, hipertrofia, casa, gemelos, core",https://drive.google.com/file/d/1Oa1JuDnGpxE5wDpadX6bQ53-6aTONSGb/view?usp=drivesdk,,
Gemelo rotatorio en máquina de palanca,Gemelos (rotación),Tobillos,Gimnasio,Intermedio,Máquina de palanca,Ninguno,"aislado, multiarticular, intermedio, máquina de palanca, hipertrofia, gimnasio, gemelos (rotación), tobillos",https://drive.google.com/file/d/1fueiFZIwrCOhhDuBMOC4-cdntQMPuPeW/view?usp=drivesdk,,
Prensa de gemelos sentado en máquina de palanca,Gemelos,Core,Gimnasio,Intermedio,Máquina de palanca,Ninguno,"aislado, multiarticular, intermedio, máquina de palanca, hipertrofia, gimnasio, gemelos, core",https://drive.google.com/file/d/1Xvilptua3jWsx1mxklTJXVjLj5sZcEPP/view?usp=drivesdk,,
Prensa de gemelos sentado en máquina de palanca,Gemelos,Core,Gimnasio,Intermedio,Máquina de palanca,Ninguno,"aislado, multiarticular, intermedio, máquina de palanca, hipertrofia, gimnasio, gemelos, core",https://drive.google.com/file/d/1PpsmFagM-ipoeKg-8dFKVYYxs3OROiPh/view?usp=drivesdk,,
Elevación de talones sentado en máquina de palanca,Gemelos,Core,Gimnasio,Intermedio,Máquina de palanca,Ninguno,"aislado, multiarticular, intermedio, máquina de palanca, hipertrofia, gimnasio, gemelos, core",https://drive.google.com/file/d/1su24GdUYNKmQUbCk8EQwvYXMFvFgEKQL/view?usp=drivesdk,,
Elevación de talones sentado en máquina de palanca,Gemelos,Core,Gimnasio,Intermedio,Máquina de palanca,Ninguno,"aislado, multiarticular, intermedio, máquina de palanca, hipertrofia, gimnasio, gemelos, core",https://drive.google.com/file/d/1fWgTWQI2xBZM1G9kAE2uVwEUV1MrTC_U/view?usp=drivesdk,,
Elevación de talones de pie en máquina de palanca,Gemelos,Core,Gimnasio,Intermedio,Máquina de palanca,Ninguno,"aislado, multiarticular, intermedio, máquina de palanca, hipertrofia, gimnasio, gemelos, core",https://drive.google.com/file/d/1ED1Qm0ybU2amuXSsGlhINXkYjw-UwWzE/view?usp=drivesdk,,
Elevación de talones de pie en máquina de palanca,Gemelos,Core,Gimnasio,Intermedio,Máquina de palanca,Ninguno,"aislado, multiarticular, intermedio, máquina de palanca, hipertrofia, gimnasio, gemelos, core",https://drive.google.com/file/d/1ujlVtL-ZyJnzbiltsnODA2gN7NCDqHm8/view?usp=drivesdk,,
Gemelo rotatorio en máquina de palanca,Gemelos (rotación),Tobillos,Gimnasio,Intermedio,Máquina de palanca,Ninguno,"aislado, multiarticular, intermedio, máquina de palanca, hipertrofia, gimnasio, gemelos (rotación), tobillos",https://drive.google.com/file/d/17nVakshQ8bHY91_mtdHX5mVosrujO9ML/view?usp=drivesdk,,
Prensa de piernas con gemelo (máquina combinada),Gemelos,Cuádriceps,Gimnasio,Intermedio,Máquina de prensa,Ninguno,"aislado, multiarticular, intermedio, máquina de prensa, hipertrofia, gimnasio, gemelos, cuádriceps",https://drive.google.com/file/d/1rckwE6kMAwfWEHWfEpN9PSlcQaUx5HsG/view?usp=drivesdk,,
Elevación de talones de pie con barra,Gemelos,Core,Gimnasio,Intermedio,Barra,Disco opcional,"aislado, multiarticular, intermedio, barra, hipertrofia, gimnasio, gemelos, core",https://drive.google.com/file/d/1h70hF57R0FfjT6o98FXbahkNWv-UfniP/view?usp=drivesdk,,
Elevación de talones de pie con peso corporal,Gemelos,Core,casa/gimnasio,Básico,Ninguno,Escalón opcional,"aislado, multiarticular, básico, ninguno, hipertrofia, casa, gemelos, core",https://drive.google.com/file/d/1asJlpXzBVcD3W7QbM1HK8RKpStARnF2X/view?usp=drivesdk,,
Elevación de talones en máquina Smith,Gemelos,Core,Gimnasio,Intermedio,Multipower (Smith),Disco opcional,"aislado, multiarticular, intermedio, multipower (smith), hipertrofia, gimnasio, gemelos, core",https://drive.google.com/file/d/1NLDswJp7G1GqfrpaAdNFQ84VCYEylgig/view?usp=drivesdk,,
Elevación de punteras en máquina Smith,Tibiales anteriores,Tobillos,Gimnasio,Intermedio,Multipower (Smith),Disco opcional,"aislado, multiarticular, intermedio, multipower (smith), hipertrofia, gimnasio, tibiales anteriores, tobillos",https://drive.google.com/file/d/1LPT4coZvfvG6CoEvrd8F2HFwNrnudmrV/view?usp=drivesdk,,
Elevación de talón a una pierna en el suelo con Smith,Gemelos,Core,Gimnasio,Avanzado,Multipower (Smith),Disco opcional,"aislado, multiarticular, avanzado, multipower (smith), hipertrofia, gimnasio, gemelos, core",https://drive.google.com/file/d/1mxcqCy4eabbP9pwnxOIR4Js_-XHGVbf6/view?usp=drivesdk,,
Estiramiento de gemelos asistido con cuerda,Gemelos,Tobillos,Casa o gimnasio,Básico,Cuerda,Esterilla,"aislado, multiarticular, básico, cuerda, hipertrofia, casa, gemelos, tobillos",https://drive.google.com/file/d/1CHv4179TTeqB7rIBZ13KCGnjcjGa97pY/view?usp=drivesdk,,
Estiramiento de peroneos asistido con cuerda,Peroneos,Tobillos,Casa o gimnasio,Básico,Cuerda,Esterilla,"aislado, multiarticular, básico, cuerda, hipertrofia, casa, peroneos, tobillos",https://drive.google.com/file/d/1orZC6s8d-nBvy3ZDOgCNmzD9CVs0kTnn/view?usp=drivesdk,,
Prensa de gemelos en trineo 45°,Gemelos,Core,Gimnasio,Intermedio,Sled machine,Ninguno,"aislado, multiarticular, intermedio, sled machine, hipertrofia, gimnasio, gemelos, core",https://drive.google.com/file/d/1fKQdnG04GzGpFLU52eOztithOK7SmEXy/view?usp=drivesdk,,
Prensa de gemelos en máquina de piernas,Gemelos,Core,Gimnasio,Intermedio,Máquina de piernas,Ninguno,"aislado, multiarticular, intermedio, máquina de piernas, hipertrofia, gimnasio, gemelos, core",https://drive.google.com/file/d/1Kl6TItS6pKDgdPX84mdJaj7e_Og660f4/view?usp=drivesdk,,
Prensa de gemelos en máquina de piernas (versión femenina),Gemelos,Core,Gimnasio,Intermedio,Máquina de piernas,Ninguno,"aislado, multiarticular, intermedio, máquina de piernas, hipertrofia, gimnasio, gemelos, core",https://drive.google.com/file/d/17Ol-GuHZqghaw2am0nHzsoRFjd21qOYC/view?usp=drivesdk,,
Saltos de tijera (Jumping Jacks),Cardiovascular,Full Body,Casa o exterior,Básico,Ninguno,Esterilla,"aislado, multiarticular, básico, ninguno, hipertrofia, casa, cardiovascular, full body",https://drive.google.com/file/d/1ZqN2pyhzOWz-VBg6_xr_70u0l1v-xz_c/view?usp=drivesdk,,
Puñetazos alternos con peso corporal,Cardiovascular,Hombros,casa/gimnasio,Básico,Ninguno,Esterilla,"aislado, multiarticular, básico, ninguno, hipertrofia, casa, cardiovascular, hombros",https://drive.google.com/file/d/1tgx7Bz6kYfKCeyG0tCE9-0PxIwKuo-6F/view?usp=drivesdk,,
Carrera libre,Cardiovascular,Piernas,Exterior,Básico,Zapatillas deportivas,Ninguno,"aislado, multiarticular, básico, zapatillas deportivas, hipertrofia, gimnasio, cardiovascular, piernas",https://drive.google.com/file/d/1shosdqpw6kpSS32dWuUiD7OnA_i-v8-C/view?usp=drivesdk,,
Talones al glúteo,Cardiovascular,Glúteos,Casa o exterior,Básico,Ninguno,Esterilla,"aislado, multiarticular, básico, ninguno, hipertrofia, casa, cardiovascular, glúteos",https://drive.google.com/file/d/1e47dcP1-mR2uM8GLuzzF7ndUjfTXASeX/view?usp=drivesdk,,
Skips de rodillas altas,Cardiovascular,Cuádriceps,Casa o exterior,Básico,Ninguno,Esterilla,"aislado, multiarticular, básico, ninguno, hipertrofia, casa, cardiovascular, cuádriceps",https://drive.google.com/file/d/1ZnymcR8W4UQeXNVF897Gzuo1YUQFyZYN/view?usp=drivesdk,,
Carrera en cinta (máquina de palanca),Cardiovascular,Piernas,Gimnasio,Básico,Cinta con leverage,Ninguno,"aislado, multiarticular, básico, cinta con leverage, hipertrofia, gimnasio, cardiovascular, piernas",https://drive.google.com/file/d/1BTiMHhI6Gqeu2eZ2sUI2W35aVCnfiG8I/view?usp=drivesdk,,
Caminata en elíptica (máquina de palanca),Cardiovascular,Piernas,Gimnasio,Básico,Elíptica leverage,Ninguno,"aislado, multiarticular, básico, elíptica leverage, hipertrofia, gimnasio, cardiovascular, piernas",https://drive.google.com/file/d/1arjHrkQFqoDmFEa025RbEhqPUGCqU_-f/view?usp=drivesdk,,
Aperturas altas con banda elástica (versión femenina),Pectorales,Hombros,casa/gimnasio,Intermedio,Banda elástica,Ninguno,"empuje horizontal, multiarticular, intermedio, banda elástica, hipertrofia, casa, pectorales, hombros",https://drive.google.com/file/d/1vAaPBwN49wyVdsoIRu5lkkSD9bUdzPmI/view?usp=drivesdk,,
Aperturas altas con banda elástica (versión masculina),Pectorales,Hombros,casa/gimnasio,Intermedio,Banda elástica,Ninguno,"empuje horizontal, multiarticular, intermedio, banda elástica, hipertrofia, casa, pectorales, hombros",https://drive.google.com/file/d/1pNcuD_EajSu6orFTK2CVXUMtUXNJ4_Ki/view?usp=drivesdk,,
Estiramiento de hombros con banda elástica (versión femenina),Hombros,Pectorales,Casa o gimnasio,Básico,Banda elástica,Ninguno,"aislado, multiarticular, básico, banda elástica, hipertrofia, casa, hombros, pectorales",https://drive.google.com/file/d/1xrNgaQQ8FTB7dzDTDjXI297VydECoQhs/view?usp=drivesdk,,
Estiramiento de hombros con banda elástica (versión masculina),Hombros,Pectorales,Casa o gimnasio,Básico,Banda elástica,Ninguno,"aislado, multiarticular, básico, banda elástica, hipertrofia, casa, hombros, pectorales",https://drive.google.com/file/d/1BUMtdCkqdTN2NPkvSDEZJk3MmcpVTQjq/view?usp=drivesdk,,
Press de pecho cruzado a una mano con banda elástica,Pectorales,Hombros,casa/gimnasio,Intermedio,Banda elástica,Ninguno,"empuje horizontal, multiarticular, intermedio, banda elástica, hipertrofia, casa, pectorales, hombros",https://drive.google.com/file/d/1QgGHILiD1JFIjphdCVKi8nLKwd92f07X/view?usp=drivesdk,,
Aperturas de pecho con banda elástica,Pectorales,Hombros,casa/gimnasio,Intermedio,Banda elástica,Ninguno,"empuje horizontal, multiarticular, intermedio, banda elástica, hipertrofia, casa, pectorales, hombros",https://drive.google.com/file/d/1joQVya8mHPMynsMOsEL0D8Pjm_v6LUSt/view?usp=drivesdk,,
Pull-over declinado con barra,Pectorales,Dorsales,Gimnasio,Avanzado,Barra,Banco declinado,"empuje horizontal, multiarticular, avanzado, barra, hipertrofia, gimnasio, pectorales, dorsales",https://drive.google.com/file/d/1yhO1wOgre_xg82g89waY3wn4bQ9vrm0p/view?usp=drivesdk,,
Sentadilla frontal con barra sobre el pecho,Pectorales,Cuádriceps,Gimnasio,Avanzado,Barra,"Discos, rack","sentadilla, multiarticular, avanzado, barra, hipertrofia, gimnasio, pectorales, cuádriceps",https://drive.google.com/file/d/1OVGYQKTQ4eWui40RcqaMIGqFPXbgbdrv/view?usp=drivesdk,,
Fondos de tríceps en el suelo con silla,Tríceps,Pectorales,casa/gimnasio,Básico,Silla,Ninguno,"empuje, aislado, básico, silla, hipertrofia, casa, tríceps, pectorales",https://drive.google.com/file/d/18nATbCWgKNUJQS4Paz2Cppr2BxCcNAcR/view?usp=drivesdk,,
Estiramiento de pecho a una mano de pie,Pectorales,Hombros,casa/gimnasio,Básico,Ninguno,Ninguno,"empuje horizontal, multiarticular, básico, ninguno, hipertrofia, casa, pectorales, hombros",https://drive.google.com/file/d/11UeGfPYBsw2rL9x50eGPoDLOHjiWVBsH/view?usp=drivesdk,,
Fondos entre sillas,Tríceps,Pectorales,casa/gimnasio,Intermedio,2 sillas,Ninguno,"empuje, aislado, intermedio, 2 sillas, hipertrofia, casa, tríceps, pectorales",https://drive.google.com/file/d/1BAMTB3dfl-bZF06qrRurzNvh5XPkUGOz/view?usp=drivesdk,,
Flexiones con apoyo en los dedos,Pectorales,Muñecas,casa/gimnasio,Avanzado,Ninguno,Esterilla,"empuje horizontal, multiarticular, avanzado, ninguno, hipertrofia, casa, pectorales, muñecas",https://drive.google.com/file/d/19tC-6zPn7YR6PJT4vUeWq2Yy4uoZtBSH/view?usp=drivesdk,,
Flexiones con rotación,Pectorales,Core,casa/gimnasio,Intermedio,Ninguno,Esterilla,"empuje horizontal, multiarticular, intermedio, ninguno, hipertrofia, casa, pectorales, core",https://drive.google.com/file/d/1GYkcrYJrycPQFKH1xA-Et0uSIOu_aDBN/view?usp=drivesdk,,
Flexiones de rodillas,Pectorales,Core,casa/gimnasio,Básico,Ninguno,Esterilla,"empuje horizontal, multiarticular, básico, ninguno, hipertrofia, casa, pectorales, core",https://drive.google.com/file/d/18Kspjz6-UpqwFVZzkb1PUwYxrH9wnv7s/view?usp=drivesdk,,
Transición de flexiones a la postura del niño,Pectorales,Espalda,casa/gimnasio,Básico,Ninguno,Esterilla,"empuje horizontal, multiarticular, básico, ninguno, hipertrofia, casa, pectorales, espalda",https://drive.google.com/file/d/1gtTtWBNrp3p3vPp-uEkD198ezB-OX8qa/view?usp=drivesdk,,
Estiramiento de pecho con brazos en flexión,Pectorales,Hombros,casa/gimnasio,Básico,Ninguno,Pared,"empuje horizontal, multiarticular, básico, ninguno, hipertrofia, casa, pectorales, hombros",https://drive.google.com/file/d/18FQoiC9ohyE-wYpMNoE-bAXV3upDTHUB/view?usp=drivesdk,,
Fondos en paralelas (pecho),Pectorales,Tríceps,Gimnasio,Avanzado,Paralelas,Ninguno,"empuje horizontal, multiarticular, avanzado, paralelas, hipertrofia, gimnasio, pectorales, tríceps",https://drive.google.com/file/d/1W1PyrXcxkD29qa4Tqv-7aBw97QUlF7Ss/view?usp=drivesdk,,
Fondos en silla (versión femenina),Tríceps,Pectorales,casa/gimnasio,Básico,Silla,Ninguno,"empuje, aislado, básico, silla, hipertrofia, casa, tríceps, pectorales",https://drive.google.com/file/d/1yG9oRZJqmUBtwjYGWOG7KnwlRfoRKtW-/view?usp=drivesdk,,
Elevación de pecho con rotación (Pilates),Pectorales,Core,casa/gimnasio,Básico,Esterilla,Ninguno,"empuje horizontal, multiarticular, básico, esterilla, hipertrofia, casa, pectorales, core",https://drive.google.com/file/d/1bwQeLuvCxB55DPUHw8_XWKvfZM7q7BXy/view?usp=drivesdk,,
Flexiones declinadas de rodillas sobre caja,Pectorales,Hombros,casa/gimnasio,Básico,Caja o banco,Esterilla,"empuje horizontal, multiarticular, básico, caja o banco, hipertrofia, casa, pectorales, hombros",https://drive.google.com/file/d/1kGdETNvc6A4ba4vB4HLKwjGqx2JckUP2/view?usp=drivesdk,,
Press inclinado con peso corporal (versión femenina),Pectorales,Hombros,casa/gimnasio,Intermedio,Banco inclinado,Esterilla,"empuje horizontal, multiarticular, intermedio, banco inclinado, hipertrofia, casa, pectorales, hombros",https://drive.google.com/file/d/1CyRiNR__IpX-srr0scK_spqmCYiqUuQX/view?usp=drivesdk,,
Fondos para pecho (versión femenina),Pectorales,Tríceps,casa/gimnasio,Intermedio,Paralelas o sillas,Ninguno,"empuje horizontal, multiarticular, intermedio, paralelas o sillas, hipertrofia, casa, pectorales, tríceps",https://drive.google.com/file/d/13xx_TWDaoY5O3IwVa1cb2iNc7ueObiSO/view?usp=drivesdk,,
Fondos para pecho,Pectorales,Tríceps,Gimnasio,Intermedio,Paralelas,Ninguno,"empuje horizontal, multiarticular, intermedio, paralelas, hipertrofia, gimnasio, pectorales, tríceps",https://drive.google.com/file/d/1-U4eVtkUwXdF0-A_9-GSa6-j4ZPcDwZB/view?usp=drivesdk,,
Flexiones elevadas,Pectorales,Hombros,casa/gimnasio,Intermedio,Banco o step,Esterilla,"empuje horizontal, multiarticular, intermedio, banco o step, hipertrofia, casa, pectorales, hombros",https://drive.google.com/file/d/1W6QHRLZvSpxuxBB9reTr3LoypwyKjXnL/view?usp=drivesdk,,
Flexiones rotacionales de rodillas,Pectorales,Core,casa/gimnasio,Básico,Esterilla,Ninguno,"empuje horizontal, multiarticular, básico, esterilla, hipertrofia, casa, pectorales, core",https://drive.google.com/file/d/1jJ6_D7pex2IfxPlfCfSaWmdV-BwsJnMJ/view?usp=drivesdk,,
Flexión con transición a plancha lateral,Pectorales,Core,casa/gimnasio,Intermedio,Esterilla,Ninguno,"empuje horizontal, multiarticular, intermedio, esterilla, hipertrofia, casa, pectorales, core",https://drive.google.com/file/d/183gRaCn48URV4XiWl3xeI7cQ1RozPzwc/view?usp=drivesdk,,
Flexión con toque de pecho,Pectorales,Core,casa/gimnasio,Intermedio,Esterilla,Ninguno,"empuje horizontal, multiarticular, intermedio, esterilla, hipertrofia, casa, pectorales, core",https://drive.google.com/file/d/1qMSzo8AO30iVbDhZVp_hyCfquU1mf2vy/view?usp=drivesdk,,
Flexión declinada,Pectorales,Hombros,casa/gimnasio,Intermedio,Banco o step,Esterilla,"empuje horizontal, multiarticular, intermedio, banco o step, hipertrofia, casa, pectorales, hombros",https://drive.google.com/file/d/1ZIIbmbqiKhf_iAEwEmsfyQpnma3GVJgq/view?usp=drivesdk,,
Flexión declinada (rodillas, versión femenina),Pectorales,Hombros,casa/gimnasio,Básico,Banco o step,Esterilla,"empuje horizontal, multiarticular, básico, banco o step, hipertrofia, casa, pectorales, hombros",https://drive.google.com/file/d/1t1U9zCuBSas7rHbwre7FoWegvOS9asWa/view?usp=drivesdk,
Flexión pica a cobra,Pectorales,Core,casa/gimnasio,Intermedio,Esterilla,Ninguno,"empuje horizontal, multiarticular, intermedio, esterilla, hipertrofia, casa, pectorales, core",https://drive.google.com/file/d/1Ir22h6pBqbJXuOqfyRyseubIlsgSoCdq/view?usp=drivesdk,,
Estiramiento de pecho con brazos elevados,Pectorales,Hombros,casa/gimnasio,Básico,Ninguno,Pared o puerta,"empuje horizontal, multiarticular, básico, ninguno, hipertrofia, casa, pectorales, hombros",https://drive.google.com/file/d/1WlHM1wn0_IflWt2_0HDxpwQk8_hf3BzY/view?usp=drivesdk,,
Estiramiento de pecho con brazos elevados (versión femenina),Pectorales,Hombros,casa/gimnasio,Básico,Ninguno,Pared o puerta,"empuje horizontal, multiarticular, básico, ninguno, hipertrofia, casa, pectorales, hombros",https://drive.google.com/file/d/1eQIkNvGDjWuwWzgqPey4IvyC_HeBoHPs/view?usp=drivesdk,,
